mid,title_orig,title
3513860738736592,《中国达人秀》聪明小狗萌翻全场|《中国达人秀》第四季_新浪视频,"['视频', '全场', '小狗', '聪明', '达人', '萌翻', '新浪', '中国', '第四季', '秀']"
3514248674508713,PSY联手MC Hammer激情献唱神曲《江南Style》,"['神曲', '献唱', '激情', '联手', '江南']"
3501144732960589,莫言面对央视专访称不知道是否幸福|2012诺贝尔奖|莫言|幸福_新浪视频,"['视频', '不', '面对', '是否', '专访', '诺贝尔奖', '幸福', '知道', '央视', '新浪', '莫言', '称']"
3489022225639053,我两艘海监船今日将抵钓鱼岛宣示主权|海监船|钓鱼岛_新浪视频,"['视频', '钓鱼岛', '两艘', '主权', '新浪', '海监船', '宣示', '今日', '抵']"
3514226330965968,西班牙拟推新政 16万欧元买房可获绿卡,"['获', '欧元', '推', '买房', '绿卡', '西班牙', '新政', '拟', '万']"
3513230800030606,30余名韩高中生在北京抢劫便利店 赔偿后和解,"['后', '韩', '赔偿', '北京', '余名', '和解', '抢劫', '便利店', '高中生']"
3515111975433715,凯迪网-资讯-有你，更有影响力！,"['更', '资讯', '影响力', '凯迪网']"
3453659264336432,Adele - Rolling In The Deep-中英字幕,"['英', '字幕', '中']"
3511450574160553,朱继东：党的重点应转向纯洁性建设,"['应', '纯洁性', '转向', '建设', '党', '朱继东', '重点']"
3511502893816399,页面没有找到 - 梅花网 -营销作品宝库,"['梅花', '没有', '页面', '营销', '宝库', '找到', '网', '作品']"
3492274442821438,《人在囧途之泰囧》曝三人版预告_新浪视频,"['视频', '之泰', '预告', '版', '新浪', '三', '曝', '人', '囧', '途']"
3481893729330114,加拿大又发生一起华人遭碎尸案 - 战法新闻 - 新欧洲 - 战斗在法国,"['遭', '法国', '新', '新闻', '华人', '一起', '欧洲', '战斗', '战法', '发生', '碎尸案', '加拿大']"
3495502886470381,铁道内部人士称12306购票网站崩溃因运力不足,"['不足', '网站', '内部', '崩溃', '称', '运力', '铁道', '人士', '购票']"
3471953535068741,全市已募集善款逾6000万_重点_新京报电子报,"['电子报', '新', '善款', '募集', '已', '逾', '京报', '全市', '重点', '万']"
3515658631052118,宋茜年代秀自我介绍与主持人介绍维尼夫妇片段 by：文卉,"['夫妇', '主持人', '年代', '自我介绍', '宋茜', '片段', '介绍', '文卉', '秀', '维尼']"
3482536535233537,世界体坛黑暗一天 激励一代人的车坛神话宣告终结_综合体育_新浪竞技风暴_新浪网,"['一代人', '激励', '体坛', '黑暗', '车坛', '宣告', '世界', '新浪网', '一天', '新浪', '神话', '竞技风暴', '终结', '体育', '综合']"
3446163137295108,写给15岁的女儿_乐嘉_新浪博客,"['岁', '博客', '乐嘉', '新浪', '写给', '女儿']"
3514567386217011,"牛背山-梦想之地,牛背山旅游攻略 - 马蜂窝","['旅游', '之地', '马蜂窝', '山', '牛背山', '牛', '背', '攻略', '梦想']"
5628082462149382559,唱红歌，“小姐”得亚军 | 南方周末,"['唱红', '歌', '小姐', '亚军', '南方周末']"
3484432982222239,"我的歌声里 - Leeking说道 唱吧,玩音乐，就上唱吧！","['唱', '里', '歌声', '音乐', '上唱', '玩', '说道']"
3516569433166099,南都深呼吸 第15集 被劳教者任建宇,"['都', '深呼吸', '第集', '建宇', '劳教', '南']"
3515260344653283,来自美国8岁小吴莫愁 演绎Price Tag_视频在线观看 - 56.com,"['视频', '演绎', '观看', '来自', '莫', '岁', '小', '美国', '在线', '愁', '吴']"
3517097482843166,【在一起】天涯明月刀 刀刀砍节操,"['刀刀', '明月刀', '节操', '天涯', '一起', '砍']"
3515919131005648,【百度张根硕吧】2008夜心万万2艺能选手村show,"['张根硕', '万万', '选手村', '夜心', '艺能', '百度']"
3461822030069834,一个流传多年的谣言_韩寒_新浪博客,"['多年', '流传', '韩寒', '博客', '谣言', '新浪']"
3514354471189107,互联网电视盒：造反电视，十年不成,"['互联网', '电视盒', '电视', '造反', '十年']"
3489015757605558,台当局发表声明不认日购岛考虑召回驻日代表|台湾|钓鱼岛|日本_新浪新闻,"['代表', '日本', '召回', '钓鱼岛', '新闻', '不认', '新浪', '驻', '考虑', '台湾', '日', '台当局', '购岛', '发表声明']"
3515748850831323,韩国美食节目提到张根硕，并打探隐私。,"['美食', '张根硕', '提到', '韩国', '打探', '节目', '隐私']"
3481451926429529,韩科学家开发新型锂电池充电速度提升120倍_科学探索_科技时代_新浪网,"['科技时代', '新型', '探索', '韩', '新浪网', '锂电池', '充电', '科学', '科学家', '速度', '提升', '开发', '倍']"
3495296321861215,中央政治局会议决定开除薄熙来党籍、公职,"['会议', '党籍', '中央政治局', '决定', '公职', '薄熙来', '开除']"
3462394950525506,巴神双响狂吼+秀肌肉 德国女球迷泪奔|欧洲区比赛|意甲_新浪视频,"['比赛', '肌肉', '视频', '女球迷', '意甲', '巴神', '双响', '德国', '奔', '欧洲区', '新浪', '狂吼', '泪', '秀']"
3504029327693720,118岁长江大侠辞世 与霍元甲齐名踢过日本武馆,"['日本', '齐名', '辞世', '岁', '长江', '霍元甲', '大侠', '武馆', '踢']"
3498933764298845,明年起驾龄1年内驾驶人不得独自上高速,"['起驾', '高速', '上', '独自', '不得', '年内', '驾驶', '龄', '人', '明年']"
3516328503210517,这个pose要火_科罗廖夫_新浪博客,"['火科', '罗廖夫', '新浪', '博客']"
3491521271819274,女童全身有伤死亡下身有血迹 警方称校车内闷死,"['闷死', '有伤', '内', '全身', '女童', '死亡', '警方', '下身', '校车', '血迹', '称']"
5624316003474174496,新浪环保携手中国绿化基金会启动微博植树行动_新闻中心_新浪网,"['绿化', '行动', '新闻', '新浪网', '博', '新浪', '中国', '环保', '微', '携手', '启动', '植树', '中心', '基金会']"
3338632387794504,铁道部通报温州动车事故情况要求全面检修线路_新闻中心_新浪网,"['通报', '全面', '温州', '铁道部', '新闻', '新浪网', '线路', '情况', '检修', '中心', '要求', '事故', '动车']"
3450601696612134,清新儿童摄影作品 - 摄影旅游频道,"['旅游', '清新', '摄影', '儿童', '作品', '频道']"
3488965057660751,少女面对性侵捅死裸体大叔一审获刑4年(图)|90后|少女|捅死_新浪新闻,"['一审', '少女', '侵', '面对', '后', '死', '年', '新闻', '新浪', '裸体', '图', '获刑', '性', '大叔', '捅']"
3479246641087174,8.15 Flash退出Android舞台 正式告别移动端 | 雷锋网,"['退出', '移动', '端', '舞台', '正式', '告别', '网', '雷锋']"
3481042755352393,新版新浪微博曝光：定向发布 个性化封面,"['封面', '曝光', '新版', '个性化', '博', '新浪', '微', '发布', '定向']"
3499861360307044,‎去哪儿旅行-预订特价机票酒店火车票平台,"['预订', '去', '平台', '旅行', '酒店', '特价机票', '火车票']"
3462975031740004,【转】尊严的来处_y8zhou_新浪博客,"['转', '的来处', '博客', '新浪', '尊严']"
3490062526188494,土豆遭腾讯搜狐乐视挖墙脚：40多名人才被分食_互联网_科技时代_新浪网,"['遭', '人才', '互联网', '科技时代', '挖墙脚', '搜狐', '土豆', '分食', '新浪网', '腾讯', '乐视', '多名']"
3515497595715423,“HOLD住姐”搞笑加盟电影小时代,"['小', '搞笑', '加盟', '电影', '住姐', '时代']"
3387538071346979,LBS社交网站Gowalla服务明年1月底将全面关闭,"['全面', '社交', '网站', '关闭', '服务', '月底', '明年']"
3448810514228590,奥巴马看了虹Phone的功能演示：美国落后了！,"['奥巴马', '虹', '功能', '演示', '美国', '看', '落后']"
3468141801527111,大嗓门女生光脚唱歌 那英脱鞋上台|中国好声音_新浪视频,"['上台', '视频', '那英', '大嗓门', '声音', '脱鞋', '光脚', '好', '新浪', '唱歌', '中国', '女生']"
3468128652392282,《中国好声音》女生为父圆梦唱哭刘欢|中国好声音|中国好声音_新浪视频,"['视频', '声音', '唱', '刘欢', '好', '新浪', '中国', '哭', '父', '圆梦', '女生']"
3469043790797882,HTC HD2成功刷入Android 4.1_手机_科技时代_新浪网,"['科技时代', '新浪网', '手机', '成功', '刷入']"
3470351536847948,【拍客】6月23日 北京暴雨 汽车都漂起来了，挡不住“丰田陆巡”要回家的脚步。,"['起来', '都', '回家', '脚步', '丰田', '陆巡', '北京', '汽车', '挡不住', '暴雨', '日', '月', '漂', '拍客']"
3386101706076869,11月北京新房成交环比上涨22% 开发商以价换量显成效_我爱我家集团_新浪博客,"['爱', '成交', '开发商', '价换量', '博客', '北京', '成效', '新浪', '我家', '上涨', '显', '集团', '环比', '月', '新房']"
3356333852240886,用和平跟恐怖说再见_911十周年_新闻中心_新浪网,"['新闻', '说', '新浪网', '再见', '和平', '中心', '恐怖', '十周年']"
3461217181691353,116位好莱坞明星的集体照_新浪视频,"['视频', '位', '好莱坞', '集体照', '明星', '新浪']"
3495296866431600,中共中央决定给予薄熙来开除党籍开除公职处分,"['给予', '开除党籍', '开除公职', '决定', '薄熙来', '中共中央', '处分']"
3453136200735077,解放军美女尖兵：90昼夜主持编写40万行代码_互联网_科技时代_新浪网,"['互联网', '代码', '科技时代', '解放军', '万行', '新浪网', '主持', '尖兵', '昼夜', '美女', '编写']"
3458314358448929,罗永浩演讲集 第6集 罗永浩 一个理想主义者的创业故事（二）,"['理想主义者', '创业', '演讲集', '第集', '二', '罗永浩', '故事']"
3479069343239116,天猫tmall.com--理想生活上天猫,"['猫', '生活', '天猫', '上天', '理想']"
3481464353904898,Google后Hadoop时代的新“三驾马车”——Caffeine、Pregel、Dremel-CSDN.NET,"['马车', '后', '新', '三驾', '时代']"
3517076545410592,2012-11-26 21:18:32_腾讯视频,"['视频', '腾讯']"
3390468383380981,从30000到2000000，我们一起走过-Adams Xu,"['一起', '走过']"
3490267028001957,开放预订仅1小时，iPhone 5一周发货的预订就已被订购一空，速度是iPhone 4和4S的20倍_详细解读_最新资讯_热点事件_36氪,"['预订', '一周', '发货', '订购', '解读', '仅', '最新', '已', '资讯', '热点', '空', '速度', '事件', '开放', '小时', '倍', '氪', '详细']"
3429322616560513,为什么「杜甫很忙」会在微博上掀起一阵流行风呢？这现象背后说明了什么？ - 知乎,"['会', '掀起', '微博', '说明', '上', '杜甫', '知乎', '背后', '现象', '很忙', '流行风', '一阵']"
2011003192727215,阳春三月 武汉大学樱花盛开_小和尚_新浪博客,"['盛开', '小', '三月', '博客', '樱花', '新浪', '阳春', '武汉大学', '和尚']"
3360689267901318,新京报社论：1元钱“巨奖”是羞辱纳税人_新闻中心_新浪网,"['钱', '羞辱', '社论', '新', '新闻', '新浪网', '巨奖', '纳税人', '京报', '中心', '元']"
3433291128045273,记者卧底曝如家快捷酒店脏毛巾擦完马桶再擦茶杯,"['马桶', '再', '完', '如家', '脏', '茶杯', '快捷酒店', '擦', '曝', '记者', '卧底', '毛巾']"
3402749330539235,Janrain：社交登录好处多 | 互联网数据资讯网-199IT | 中文互联网数据研究资讯中心-199IT,"['互联网', '社交', '好处', '资讯网', '研究', '资讯中心', '登录', '中文', '数据']"
3358222354638557,方宏进涉嫌诈骗结案不予起诉 举报涉案款遭私分_影音娱乐_新浪网,"['遭', '款', '诈骗', '娱乐', '涉案', '结案', '涉嫌', '起诉', '新浪网', '方宏进', '影音', '举报', '不予', '私分']"
3461905232352592,【穷游网】自由行_自助游攻略_旅游攻略分享社区,"['游网', '自由', '自助游', '分享', '旅游', '社区', '行', '攻略', '穷']"
3502088653096193,导购+闪购App“别致”每天只推荐10款设计品_详细解读_最新资讯_热点事件_36氪,"['款', '品', '详细', '闪购', '每天', '推荐', '解读', '最新', '资讯', '热点', '别致', '只', '事件', '氪', '设计', '导购']"
2011004064680341,围观者，我要控诉你！记广州天河龙洞步行街便利店打人事件_传媒江湖_论坛_天涯社区,"['步行街', '传媒', '记', '江湖', '控诉', '天涯社区', '便利店', '论坛', '围观者', '事件', '天河', '广州', '龙洞', '打人']"
3422786032308489,‎新浪财经-股票财经新闻资讯平台,"['平台', '股票', '新浪', '新闻资讯', '财经']"
3514817601987077,张高丽:若有人打我的亲朋旗号办事不要给情面,"['张高丽', '旗号', '亲朋', '不要', '情面', '有人', '办事']"
3499182486799234,太萌了！这小萝莉对生日礼物的反应,"['萌', '小萝莉', '反应', '生日礼物', '太']"
3417708844896670,Square：你现在可以对4万商家说出名字就支付_详细解读_最新资讯_热点事件_36氪,"['支付', '名字', '商家', '详细', '解读', '最新', '资讯', '热点', '说出', '现在', '事件', '氪', '万']"
3481793040717867,为你唱歌伴奏的“爱唱”推崇用户原创，避免了版权问题_详细解读_最新资讯_热点事件_36氪,"['伴奏', '爱', '详细', '唱', '解读', '最新', '资讯', '热点', '原创', '避免', '唱歌', '用户', '版权', '事件', '推崇', '氪', '问题']"
3501522396303345,欢聚时代提交IPO申请 拟纳斯达克筹资1亿美元,"['提交', '亿美元', '筹资', '纳斯达克', '欢聚', '申请', '拟', '时代']"
3413274345074872,北京公交拥挤不堪车门堵死 乘客爬窗挤车,"['窗', '车门', '拥挤不堪', '乘客', '爬', '北京公交', '堵死', '挤车']"
3439425096525550,【Mike隋出品】老外屌丝中文哥超强12人模仿！！！,"['超强', '隋', '模仿', '屌丝', '出品', '老外', '中', '人', '文哥']"
3514830281328052,母亲来京看读研孩子被遣回老家劳教1年,"['母亲', '读研', '年', '劳教', '看', '孩子', '来京', '遣', '回老家']"
3487069302876096,谷歌人脸识别解锁专利获批(组图)_通讯与电讯_科技时代_新浪网,"['科技时代', '组图', '谷歌', '专利', '人脸识别', '新浪网', '电讯', '解锁', '获批', '通讯']"
201110326366666507,实拍广西山区学生9年顿顿只有黄豆蒸饭吃|学生_新浪视频,"['视频', '年', '学生', '实拍', '黄豆', '蒸饭', '新浪', '山区', '顿顿', '广西', '吃']"
3479334033077759,6名保钓人士成功登岛 五星红旗已插上钓鱼岛|钓鱼岛_新浪新闻,"['保钓', '钓鱼岛', '新闻', '五星红旗', '已', '上', '新浪', '成功', '插', '人士', '名', '登岛']"
3396225451345124,iPhone/iPad客户端下载 - 微盘,"['客户端', '下载', '微盘']"
3469127996277852,饼镜首发:EF 40mm f/2.8 STM 实测 – FOTOMEN,"['饼镜', '首发', '实测']"
3463365227503712,腾讯网首页重大改版，门户进入个性化时代？_详细解读_最新资讯_热点事件_36氪,"['门户', '改版', '个性化', '解读', '最新', '资讯', '首页', '热点', '重大', '腾讯网', '进入', '氪', '事件', '时代', '详细']"
3339050082043415,盘点最没有营养的十种食物_新闻中心_新浪网,"['食物', '没有', '新闻', '十种', '新浪网', '营养', '中心', '盘点', '最']"
20110080424644476,广东省委书记汪洋:一把手要带头给舆论监督撑腰_新闻中心_新浪网,"['汪洋', '要带头', '一把手', '新闻', '新浪网', '广东省委', '中心', '书记', '撑腰', '舆论监督']"
3415588309241935,湖南衡阳致29死6伤矿难5名官员被立案侦查_新闻中心_新浪网,"['立案侦查', '矿难', '致', '湖南', '新闻', '新浪网', '官员', '中心', '名', '死伤', '衡阳']"
3464390625766706,军队女少校梦中找到编程灵感 写完昏迷3天_业界_科技时代_新浪网,"['昏迷', '科技时代', '写', '完', '少校', '梦', '业界', '军队', '女', '新浪网', '找到', '中', '天', '编程', '灵感']"
3402754120736692,简单介绍一下“无锁队列双向服务模型”_王津THU_新浪博客,"['无锁', '博客', '模型', '新浪', '介绍', '简单', '一下', '双向', '服务', '王津', '队列']"
3417982044433578,长沙政府与开发商协商古城墙保留20米其余迁移_新闻中心_新浪网,"['长沙', '迁移', '米', '开发商', '新闻', '新浪网', '政府', '保留', '中心', '协商', '古城墙']"
3416551762014084,万家热线-安徽门户网站-安徽专业网络媒体,"['专业', '网络媒体', '门户网站', '万家', '热线', '安徽']"
3422322981134323,代表北京调研10元钱购买力:三个苹果或五根黄瓜_生活消费-消费_新浪财经_新浪网,"['代表', '钱', '黄瓜', '五根', '新浪网', '生活', '北京', '新浪', '调研', '苹果', '三个', '元', '财经', '购买力', '消费']"
3423057484318801,"北京凯撒旅游-北京凯撒国旅,5A旅行社,中国百强国际旅行社,您的旅游专家","['国旅', '凯撒', '旅游', '国际', '旅行社', '专家', '北京', '中国', '百强']"
3390961676089252,新浪SHOW—邂逅、偶遇，我在直播等你！,"['新浪', '直播', '邂逅', '偶遇']"
3504953089686468,幼儿园老师揪幼童双耳离地拍照 称照片很有趣,"['幼儿园', '老师', '双耳', '照片', '揪', '很', '有趣', '幼童', '拍照', '称']"
3486093552437817,[GTD技巧]Google日历让EverNote具备周期提醒功能_熊哥停一停_新浪博客,"['技巧', '日历', '功能', '周期', '博客', '新浪', '具备', '熊哥', '停', '一停', '提醒']"
3433167236953215,女白领因路面塌陷坠入热水坑后去世_新闻中心_新浪网,"['去世', '后', '热水', '路面', '新闻', '新浪网', '坑', '坠入', '女白领', '中心', '塌陷']"
3410068907415020,写给一起Coding的兄弟们_头发半干_新浪博客,"['半干', '兄弟', '博客', '一起', '写给', '新浪', '头发']"
